Time,PSI
0.005,-5.620499999999993
0.02625,-6.263999999999996
0.03125,-6.536999999999992
0.0525,-6.478499999999997
0.0575,-6.302999999999997
0.07875,-6.069000000000003
0.08375,-5.347499999999997
0.105,-6.263999999999996
0.11,-6.10799999999999
0.13125,-6.263999999999996
0.13625,-6.244500000000002
0.1575,-6.205500000000001
0.1625,-6.458999999999989
0.18375,-6.069000000000003
0.18875,-6.458999999999989
0.21,-5.269499999999994
0.215,-6.420000000000002
0.23625,-6.5565
0.24125,-6.205500000000001
0.2625,-6.361499999999992
0.2675,-6.458999999999989
0.28875,-5.717999999999989
0.29375,-5.971499999999992
0.315,-6.4979999999999905
0.32,-5.795999999999992
0.34125,-7.0049999999999955
0.34625,-6.5565
0.3675,-5.93249999999999
0.3725,-6.341999999999999
0.39375,-6.166499999999999
0.39875,-6.439499999999995
0.41875,-6.907499999999999
0.42375,-6.166499999999999
0.445,-6.536999999999992
0.45,-6.771000000000001
0.47125,-6.030000000000001
0.47625,-6.185999999999993
0.4975,-6.322499999999991
0.5025,-5.854500000000002
0.52375,-6.731999999999999
0.52875,-7.024499999999989
0.55,-5.2890000000000015
0.555,-6.478499999999997
0.57625,-5.991
0.58125,-5.795999999999992
0.6025,-6.458999999999989
0.6075,-5.893499999999989
0.62875,-6.341999999999999
0.63375,-5.93249999999999
0.655,-6.381
0.66,-6.283499999999989
0.68125,-6.088499999999996
0.68625,-6.127499999999998
0.7075,-6.010499999999993
0.7125,-6.341999999999999
0.73375,-6.322499999999991
0.73875,-5.93249999999999
0.76,-6.400499999999994
0.765,-6.205500000000001
0.78625,-6.205500000000001
0.79125,-6.614999999999995
0.8125,-6.341999999999999
0.8175,-6.751499999999993
0.83875,-6.458999999999989
0.84375,-6.322499999999991
0.865,-6.478499999999997
0.87,-6.4979999999999905
0.89125,-6.263999999999996
0.89625,-6.166499999999999
0.9175,-6.166499999999999
0.9225,-6.478499999999997
0.94375,-6.10799999999999
0.94875,-6.439499999999995
0.96875,-6.185999999999993
0.97375,-6.361499999999992
0.995,-6.4979999999999905
1.0,-5.054999999999993
1.02125,-7.4339999999999975
1.02625,-6.985500000000002
1.0475,-6.205500000000001
1.0525,-6.458999999999989
1.07375,-6.887999999999991
1.07875,-6.030000000000001
1.1,-6.10799999999999
1.105,-7.23899999999999
1.12625,-5.834999999999994
1.13125,-6.634500000000003
1.1525,-7.043999999999997
1.1575,-6.478499999999997
1.17875,-6.420000000000002
1.18375,-6.146999999999991
1.205,-6.322499999999991
1.21,-6.420000000000002
1.23125,-6.322499999999991
1.23625,-6.146999999999991
1.2575,-6.634500000000003
1.2625,-6.341999999999999
1.28375,-6.7124999999999915
1.28875,-5.873999999999995
1.31,-6.049499999999995
1.315,-6.146999999999991
1.33625,-5.854500000000002
1.34125,-6.302999999999997
1.3625,-6.322499999999991
1.3675,-6.478499999999997
1.38875,-6.244500000000002
1.39375,-5.912999999999997
1.415,-6.185999999999993
1.42,-6.224999999999994
1.44125,-6.263999999999996
1.44625,-6.127499999999998
1.4675,-6.088499999999996
1.4725,-6.692999999999998
1.49375,-6.302999999999997
1.49875,-6.536999999999992
1.51875,-6.069000000000003
1.52375,-6.030000000000001
1.545,-6.127499999999998
1.55,-6.517499999999998
1.57125,-6.595500000000001
1.57625,-6.5565
1.5975,-6.4979999999999905
1.6025,-6.653999999999996
1.62375,-6.224999999999994
1.62875,-6.224999999999994
1.65,-6.595500000000001
1.655,-6.10799999999999
1.67625,-6.9465
1.68125,-5.854500000000002
1.7025,-6.127499999999998
1.7075,-6.263999999999996
1.72875,-6.283499999999989
1.73375,-6.985500000000002
1.755,-6.634500000000003
1.76,-6.478499999999997
1.78125,-6.420000000000002
1.78625,-6.283499999999989
1.8075,-6.10799999999999
1.8125,-7.102499999999992
1.83375,-6.322499999999991
1.83875,-6.127499999999998
1.86,-6.069000000000003
1.865,-6.361499999999992
1.88625,-6.263999999999996
1.89125,-6.400499999999994
1.9125,-6.439499999999995
1.9175,-6.263999999999996
1.93875,-6.575999999999993
1.94375,-5.971499999999992
1.965,-6.341999999999999
1.97,-7.41449999999999
1.99125,-7.199999999999989
1.99625,-5.951999999999998
2.0175,-6.595500000000001
2.0225,-6.361499999999992
2.04375,-6.322499999999991
2.04875,-6.420000000000002
2.06875,-6.575999999999993
2.07375,-6.302999999999997
2.095,-6.517499999999998
2.10125,-5.737499999999997
2.12125,-7.102499999999992
2.1275,-6.439499999999995
2.1475,-7.199999999999989
2.15375,-4.7039999999999935
2.17375,-6.517499999999998
2.18,-6.283499999999989
2.2,-6.10799999999999
2.20625,-6.575999999999993
2.22625,-6.5565
2.2325,-6.322499999999991
2.2525,-6.185999999999993
2.25875,-6.185999999999993
2.27875,-6.420000000000002
2.285,-5.347499999999997
2.305,-5.620499999999993
2.31125,-6.400499999999994
2.33125,-6.517499999999998
2.3375,-6.283499999999989
2.3575,-6.517499999999998
2.3625,-6.205500000000001
2.38375,-6.458999999999989
2.39,-6.67349999999999
2.41,-6.049499999999995
2.41625,-6.536999999999992
2.43625,-6.67349999999999
2.4425,-6.341999999999999
2.4625,-6.283499999999989
2.46875,-6.088499999999996
2.49,-6.146999999999991
2.49625,-6.341999999999999
2.51625,-6.634500000000003
2.5225,-6.439499999999995
2.5425,-5.834999999999994
2.54875,-6.088499999999996
2.56875,-5.756999999999991
2.575,-5.717999999999989
2.595,-6.420000000000002
2.60125,-6.5565
2.62,-6.9269999999999925
2.62625,-6.049499999999995
2.64625,-6.205500000000001
2.6525,-6.341999999999999
2.6725,-6.4979999999999905
2.67875,-7.589999999999989
2.69875,-6.751499999999993
2.705,-6.614999999999995
2.725,-6.420000000000002
2.73125,-7.180499999999995
2.75125,-6.400499999999994
2.7575,-6.7124999999999915
2.7775,-6.166499999999999
2.78375,-6.263999999999996
2.80375,-6.439499999999995
2.8175,-6.283499999999989
2.82875,-6.400499999999994
2.8425,-6.146999999999991
2.85375,-5.737499999999997
2.8675,-6.10799999999999
2.87875,-6.458999999999989
2.895,-6.771000000000001
2.90625,-6.166499999999999
2.92,-6.9465
2.93125,-6.420000000000002
2.945,-5.561999999999998
2.95625,-6.361499999999992
2.97,-5.620499999999993
2.98125,-6.322499999999991
2.995,-6.400499999999994
3.00625,-6.731999999999999
3.02,-6.341999999999999
3.0325,-6.010499999999993
3.04625,-6.127499999999998
3.0575,-6.146999999999991
3.07125,-6.244500000000002
3.0825,-6.67349999999999
3.09625,-6.400499999999994
3.1075,-6.7124999999999915
3.12125,-6.517499999999998
3.1325,-6.439499999999995
3.14875,-6.517499999999998
3.16,-6.381
3.17375,-6.517499999999998
3.185,-5.36699999999999
3.19875,-6.771000000000001
3.21,-6.400499999999994
3.22375,-6.420000000000002
3.235,-6.166499999999999
3.24875,-6.205500000000001
3.26,-6.341999999999999
3.27625,-5.8155
3.2875,-6.049499999999995
3.30125,-5.269499999999994
3.3125,-6.9269999999999925
3.32625,-6.4979999999999905
3.3375,-6.517499999999998
3.35125,-6.361499999999992
3.3625,-6.361499999999992
3.37625,-6.517499999999998
3.3875,-6.244500000000002
3.40375,-6.381
3.415,-6.224999999999994
3.42875,-6.244500000000002
3.44,-5.659499999999994
3.45375,-5.991
3.465,-6.263999999999996
3.47875,-6.224999999999994
3.49,-6.614999999999995
3.50375,-6.4979999999999905
3.515,-6.478499999999997
3.53125,-5.93249999999999
3.5425,-5.483999999999995
3.5575,-6.439499999999995
3.57,-6.263999999999996
3.58375,-6.810000000000002
3.595,-6.595500000000001
3.60875,-6.420000000000002
3.62,-6.575999999999993
3.63375,-5.971499999999992
3.645,-6.810000000000002
3.66125,-6.420000000000002
3.6725,-6.478499999999997
3.68625,-6.185999999999993
3.6975,-6.9269999999999925
3.71125,-6.322499999999991
3.7225,-6.439499999999995
3.73625,-6.420000000000002
3.7475,-6.224999999999994
3.76125,-6.263999999999996
3.7725,-6.400499999999994
3.78875,-6.146999999999991
3.8,-6.302999999999997
3.81375,-6.439499999999995
3.825,-6.595500000000001
3.83875,-6.67349999999999
3.85,-6.361499999999992
3.86375,-6.985500000000002
3.875,-6.5565
3.88875,-6.5565
3.9,-6.458999999999989
3.91625,-6.5565
3.9275,-6.302999999999997
3.94125,-6.205500000000001
3.9525,-6.907499999999999
3.96625,-6.5565
3.9775,-6.341999999999999
3.99125,-6.751499999999993
4.0025,-6.771000000000001
4.01625,-5.991
4.0275,-6.322499999999991
4.04375,-7.024499999999989
4.055,-6.5565
4.06875,-6.67349999999999
4.08,-6.10799999999999
4.095,-6.5565
4.1075,-6.205500000000001
4.12125,-6.302999999999997
