Time,PSI
0.005,-17.92
0.02625,-18.135599999999997
0.03125,-17.763199999999998
0.0525,-17.586799999999997
0.0575,-17.978799999999993
0.07875,-17.959199999999996
0.08375,-17.2928
0.105,-17.959199999999996
0.11,-17.861199999999997
0.13125,-17.684799999999996
0.13625,-17.978799999999993
0.1575,-17.900400000000005
0.1625,-17.900400000000005
0.18375,-17.978799999999993
0.18875,-17.704399999999993
0.21,-16.528400000000005
0.215,-18.096400000000003
0.23625,-17.822000000000003
0.24125,-17.959199999999996
0.2625,-17.724000000000004
0.2675,-17.606399999999994
0.28875,-17.861199999999997
0.29375,-17.724000000000004
0.315,-17.8416
0.32,-17.626000000000005
0.34125,-17.7436
0.34625,-17.704399999999993
0.3675,-17.959199999999996
0.3725,-17.547600000000003
0.39375,-17.92
0.39875,-17.626000000000005
0.41875,-17.508399999999995
0.42375,-18.409999999999997
0.445,-17.861199999999997
0.45,-18.684399999999997
0.47125,-17.900400000000005
0.47625,-17.586799999999997
0.4975,-18.233599999999996
0.5025,-18.076800000000006
0.52375,-18.135599999999997
0.52875,-17.7436
0.55,-17.2928
0.555,-17.547600000000003
0.57625,-17.782799999999995
0.58125,-17.959199999999996
0.6025,-17.488799999999998
0.6075,-17.978799999999993
0.62875,-17.5672
0.63375,-17.92
0.655,-18.037599999999998
0.66,-17.626000000000005
0.68125,-17.978799999999993
0.68625,-17.547600000000003
0.7075,-17.429999999999993
0.7125,-17.763199999999998
0.73375,-17.6652
0.73875,-17.1948
0.76,-17.626000000000005
0.765,-17.5672
0.78625,-18.037599999999998
0.79125,-17.057599999999994
0.8125,-17.547600000000003
0.8175,-17.978799999999993
0.83875,-18.057199999999995
0.84375,-17.6456
0.865,-17.802400000000006
0.87,-17.861199999999997
0.89125,-17.9396
0.89625,-17.802400000000006
0.9175,-18.155199999999994
0.9225,-17.528000000000006
0.94375,-17.900400000000005
0.94875,-18.370800000000003
0.96875,-17.528000000000006
0.97375,-17.6652
0.995,-17.449600000000004
1.0,-16.979200000000006
1.02125,-18.351200000000006
1.02625,-18.018
1.0475,-17.763199999999998
1.0525,-17.684799999999996
1.07375,-18.507999999999996
1.07875,-18.409999999999997
1.1,-17.429999999999993
1.105,-17.782799999999995
1.12625,-17.1164
1.13125,-17.822000000000003
1.1525,-17.626000000000005
1.1575,-17.763199999999998
1.17875,-17.586799999999997
1.18375,-17.782799999999995
1.205,-17.7436
1.21,-17.763199999999998
1.23125,-17.5672
1.23625,-17.978799999999993
1.2575,-17.684799999999996
1.2625,-17.508399999999995
1.28375,-18.233599999999996
1.28875,-17.7436
1.31,-17.782799999999995
1.315,-17.8416
1.33625,-17.6652
1.34125,-17.7436
1.3625,-17.900400000000005
1.3675,-17.724000000000004
1.38875,-17.900400000000005
1.39375,-17.586799999999997
1.415,-17.684799999999996
1.42,-17.900400000000005
1.44125,-17.6652
1.44625,-17.9396
1.4675,-17.684799999999996
1.4725,-17.488799999999998
1.49375,-17.547600000000003
1.49875,-17.782799999999995
1.51875,-17.782799999999995
1.52375,-17.782799999999995
1.545,-17.3712
1.55,-17.7436
1.57125,-17.704399999999993
1.57625,-17.959199999999996
1.5975,-17.92
1.6025,-17.586799999999997
1.62375,-17.9396
1.62875,-17.528000000000006
1.65,-17.410399999999996
1.655,-18.311999999999998
1.67625,-17.900400000000005
1.68125,-17.488799999999998
1.7025,-18.351200000000006
1.7075,-17.802400000000006
1.72875,-17.998400000000004
1.73375,-17.547600000000003
1.755,-18.1944
1.76,-17.880799999999994
1.78125,-17.6456
1.78625,-18.018
1.8075,-17.626000000000005
1.8125,-18.4884
1.83375,-18.076800000000006
1.83875,-17.410399999999996
1.86,-17.802400000000006
1.865,-17.7436
1.88625,-17.724000000000004
1.89125,-17.900400000000005
1.9125,-17.782799999999995
1.9175,-17.724000000000004
1.93875,-17.978799999999993
1.94375,-17.155599999999993
1.965,-17.900400000000005
1.97,-17.880799999999994
1.99125,-18.1944
1.99625,-17.8416
2.0175,-17.763199999999998
2.0225,-18.547200000000004
2.04375,-17.704399999999993
2.04875,-17.4692
2.06875,-17.880799999999994
2.07375,-18.155199999999994
2.095,-18.174800000000005
2.10125,-17.978799999999993
2.12125,-17.7436
2.1275,-17.429999999999993
2.1475,-18.076800000000006
2.15375,-16.489199999999997
2.17375,-17.6456
2.18,-17.998400000000004
2.2,-17.880799999999994
2.20625,-17.8416
2.22625,-17.586799999999997
2.2325,-18.057199999999995
2.2525,-17.606399999999994
2.25875,-17.488799999999998
2.27875,-17.724000000000004
2.285,-17.763199999999998
2.305,-17.6456
2.31125,-17.233999999999995
2.33125,-17.508399999999995
2.3375,-17.8416
2.3575,-17.7436
2.3625,-17.7436
2.38375,-17.782799999999995
2.39,-17.763199999999998
2.41,-17.802400000000006
2.41625,-17.978799999999993
2.43625,-17.900400000000005
2.4425,-17.7436
2.4625,-18.018
2.46875,-18.409999999999997
2.49,-17.802400000000006
2.49625,-17.528000000000006
2.51625,-17.724000000000004
2.5225,-17.586799999999997
2.5425,-17.6456
2.54875,-18.174800000000005
2.56875,-18.135599999999997
2.575,-18.155199999999994
2.595,-18.057199999999995
2.60125,-17.606399999999994
2.62,-17.704399999999993
2.62625,-17.606399999999994
2.64625,-17.684799999999996
2.6525,-17.861199999999997
2.6725,-17.626000000000005
2.67875,-19.429199999999994
2.69875,-17.8416
2.705,-17.959199999999996
2.725,-17.9396
2.73125,-18.370800000000003
2.75125,-17.880799999999994
2.7575,-18.096400000000003
2.7775,-17.8416
2.78375,-18.076800000000006
2.80375,-18.116
2.8175,-18.2924
2.82875,-17.449600000000004
2.8425,-18.2924
2.85375,-17.2928
2.8675,-18.155199999999994
2.87875,-17.6652
2.895,-17.547600000000003
2.90625,-18.155199999999994
2.92,-17.528000000000006
2.93125,-18.076800000000006
2.945,-17.4692
2.95625,-17.6652
2.97,-18.370800000000003
2.98125,-17.900400000000005
2.995,-17.547600000000003
3.00625,-17.175200000000004
3.02,-18.135599999999997
3.0325,-18.057199999999995
3.04625,-18.018
3.0575,-17.3908
3.07125,-18.076800000000006
