Time,State,Lox High,Fuel High,Lox Dome,Fuel Dome,Lox Tank1,Lox Tank2,Fuel Tank1,Fuel Tank2,Pneumatics,Lox Inlet,Fuel Inlet,Fuel Injector,Chamber1,Chamber2
2389907.0,5.0,1683.84,-367.18,677.05,-75.04,352.16,369.28,346.58,357.42,349.44,510.0,0.0,0.12,0.12,0.0
2390244.0,5.0,1687.37,1753.36,677.44,-74.91,352.66,369.96,347.24,-75.98,349.01,510.1,0.0,0.12,0.12,0.0
2390673.0,5.0,1684.03,-360.99,677.28,340.04,352.02,370.72,347.09,-75.33,349.48,510.06,0.0,0.12,0.12,0.0
2391008.0,5.0,1493.78,1673.54,677.17,340.16,351.78,370.28,346.21,-75.6,349.34,510.1,0.0,0.12,0.17,0.0
2391344.0,5.0,1685.56,-367.0,676.95,339.6,352.0,368.76,345.93,357.36,-72.44,510.0,0.0,0.12,0.12,0.0
2391682.0,5.0,1684.5,-363.52,677.4,-74.66,352.72,369.82,346.96,-75.98,-116.14,509.98,0.0,0.12,0.12,0.0
2392018.0,5.0,-386.29,-363.99,197.61,-75.06,352.5,370.34,346.69,-76.25,-73.46,509.28,0.0,0.12,0.12,0.0
2392353.0,5.0,-387.34,1755.52,197.53,339.72,352.28,368.94,346.42,-76.0,348.99,509.3,0.0,0.12,0.12,0.0
2392691.0,5.0,1682.5,1754.39,677.26,339.3,352.48,368.8,346.4,-76.04,349.42,509.94,0.0,0.12,0.12,0.0
2393027.0,5.0,1686.89,-365.87,677.7,-74.85,351.94,370.08,347.01,357.32,-72.39,509.94,0.0,0.12,0.12,0.0
2393363.0,5.0,1687.56,-363.05,678.13,-118.09,352.24,370.64,347.24,-75.52,-72.82,509.48,0.04,0.12,0.12,0.0
2393701.0,5.0,-402.16,1672.98,677.01,340.12,352.2,370.16,346.14,-75.62,-72.87,509.26,0.0,0.12,0.19,0.0
2394038.0,5.0,1592.44,-362.68,676.95,340.21,352.18,370.12,346.77,-76.0,349.14,509.65,0.0,0.12,0.12,0.0
2394373.0,5.0,1682.88,-366.9,197.65,340.02,352.3,369.66,346.69,-75.96,349.13,510.35,0.0,0.12,0.12,0.0
2394707.0,5.0,1687.09,-363.33,678.17,-118.22,352.54,370.1,347.42,-75.91,349.07,510.04,0.0,0.12,0.12,0.0
2395042.0,5.0,1690.34,-365.02,677.64,-74.94,352.46,370.58,347.42,-75.79,349.38,509.79,0.0,0.12,0.12,0.0
2395380.0,5.0,-390.4,-362.02,198.1,339.72,352.56,368.76,346.25,-75.92,-73.34,52.1,0.0,0.12,0.12,0.0
2395716.0,5.0,1686.03,-368.12,677.2,340.12,352.54,369.04,346.52,-75.1,-72.58,509.38,0.0,0.12,0.7,0.0
2396054.0,5.0,1689.76,-362.77,677.99,340.14,352.56,370.28,347.28,-75.79,349.73,509.83,0.0,0.12,0.12,0.0
2396389.0,5.0,1686.7,1754.02,677.7,340.25,352.06,370.74,347.15,-75.44,349.36,510.1,0.0,0.12,0.12,0.0
2396725.0,5.0,1686.7,-364.56,677.13,-74.52,352.9,370.02,347.05,-75.79,-72.33,510.2,0.0,0.12,0.12,0.0
2397063.0,5.0,1689.38,-365.31,677.11,-74.81,352.66,370.36,347.07,-75.96,-72.84,52.59,0.0,0.12,0.41,0.0
2397399.0,5.0,1593.97,-579.87,677.34,339.98,352.16,369.92,346.71,-75.81,-72.95,52.45,0.0,0.12,0.12,0.0
2397735.0,5.0,-388.68,1753.64,677.03,340.25,352.1,368.92,346.35,-76.1,348.95,509.69,0.0,0.12,0.12,0.0
2398072.0,5.0,1684.31,-363.43,677.42,-74.72,351.96,370.1,347.07,357.5,-72.33,510.41,0.0,0.12,0.12,0.0
